video_url,prompt
https://cdn.higgsfield.ai/kling_motion/3979e522-6d4c-4a6f-86a9-adde18d3ea22.mp4,
https://cdn.higgsfield.ai/kling_motion/3979e522-6d4c-4a6f-86a9-adde18d3ea22.mp4,yellow cat
https://cdn.higgsfield.ai/kling_motion/3979e522-6d4c-4a6f-86a9-adde18d3ea22.mp4,tiger
https://cdn.higgsfield.ai/kling_motion/3979e522-6d4c-4a6f-86a9-adde18d3ea22.mp4,black pantera
https://cdn.higgsfield.ai/kling_motion/3979e522-6d4c-4a6f-86a9-adde18d3ea22.mp4,
https://cdn.higgsfield.ai/kling_motion/3979e522-6d4c-4a6f-86a9-adde18d3ea22.mp4,
https://cdn.higgsfield.ai/kling_motion/3979e522-6d4c-4a6f-86a9-adde18d3ea22.mp4,
https://cdn.higgsfield.ai/kling_motion/3979e522-6d4c-4a6f-86a9-adde18d3ea22.mp4,
