video_url,prompt
https://cdn.higgsfield.ai/kling_motion/021fb851-f2a0-4002-b436-ca7efd280575.mp4,
https://cdn.higgsfield.ai/kling_motion/021fb851-f2a0-4002-b436-ca7efd280575.mp4,time changes to night
https://cdn.higgsfield.ai/kling_motion/021fb851-f2a0-4002-b436-ca7efd280575.mp4,woman walks
https://cdn.higgsfield.ai/kling_motion/021fb851-f2a0-4002-b436-ca7efd280575.mp4,woman walks
https://cdn.higgsfield.ai/kling_motion/021fb851-f2a0-4002-b436-ca7efd280575.mp4,
https://cdn.higgsfield.ai/kling_motion/021fb851-f2a0-4002-b436-ca7efd280575.mp4,
https://cdn.higgsfield.ai/kling_motion/021fb851-f2a0-4002-b436-ca7efd280575.mp4,
https://cdn.higgsfield.ai/kling_motion/021fb851-f2a0-4002-b436-ca7efd280575.mp4,red
